Country,InternetUsers
China,668110314
India,402000000
United States,266441302
Japan,109755777
Brazil,103720965
Russia,87495296
Indonesia,78000000
Germany,68131244
Nigeria,65675984
United Kingdom,56954584
France,54027428
Mexico,51638402
Egypt,42271899
South Korea,41499326
Vietnam,40597779
Philippines,39116638
Turkey,37321199
Italy,35942120
Pakistan,35063037
Spain,36721233
Canada,29659525
Argentina,25523978
Iran,25074125
Poland,24123917
South Africa,23765937
Colombia,23650570
Malaysia,19842134
Thailand,19533675
Taiwan,18639773
Ukraine,18631600
Australia,18477876
Morocco,18283513
Kenya,17174686
Saudi Arabia,16298448
Netherlands,15789408
Venezuela,15624038
Peru,11700927
Chile,11449268
Uzbekistan,10948745
Romania,10843923
Nepal,10690000
Bangladesh,10637566
Kazakhstan,9577924
Sweden,9144140
Belgium,8582076
Sudan,7910476
Czech Republic,7862937
Hungary,7220419
Switzerland,6932555
Portugal,6705872
Austria,6628192
Greece,6449377
Algeria,6284489
Ecuador,6230378
Syria,5883822
Uganda,5630927
Azerbaijan,5629423
Israel,5456586
Denmark,5258054
Hong Kong,5255078
Belarus,5214344
Yemen,5067692
Norway,4834019
Finland,4819253
United Arab Emirates,4817095
Sri Lanka,4746967
Tunisia,4746112
Dominican Republic,4690810
Slovakia,4274461
Bolivia,4132116
Singapore,3986020
Ireland,3737096
Serbia,3730149
Bulgaria,3704564
New Zealand,3613441
Angola,3545966
Ghana,3099552
Croatia,2987663
Iraq,2930980
Lebanon,2912766
Jordan,2865080
Cuba,2843893
Guatemala,2831574
Senegal,2779786
Puerto Rico,2694134
Bosnia and Herzegovina,2631616
Paraguay,2443980
Zimbabwe,2438838
Lithuania,2406707
Zambia,2190224
Costa Rica,2158255
Georgia,2130070
Tanzania,2123525
Oman,2095922
Palestinian Authority,2069099
Kuwait,2033885
Uruguay,1931511
Afghanistan,1835377
Albania,1809854
Ethiopia,1783663
Moldova,1766523
Qatar,1742205
Democratic Republic of the Congo,1661161
Latvia,1638939
Panama,1526986
Honduras,1503827
Slovenia,1448199
Cameroon,1442210
Armenia,1418756
El Salvador,1411652
Mozambique,1301220
Kyrgyzstan,1298242
Macedonia,1277349
Tajikistan,1265607
Bahrain,1153199
Jamaica,1099872
Haiti,1048757
Rwanda,1045095
Estonia,1013154
Libya,990387
Cambodia,912332
Malawi,905988
Nicaragua,897222
Laos,836896
Burkina Faso,783770
Trinidad and Tobago,781694
Cyprus,756267
Myanmar,662008
Ivory Coast,582422
Mauritius,515673
Mongolia,521520
Madagascar,497180
Turkmenistan,490852
Benin,483987
Luxembourg,482820
Papua New Guinea,418074
Macau,383616
Montenegro,371173
Mali,336059
Swaziland,346630
Fiji,332697
Togo,321941
Botswana,319174
Iceland,304394
Namibia,303416
Republic of the Congo,301891
Niger,287289
Malta,283427
Brunei,268137
The Gambia,263627
Chad,257449
Guyana,243146
The Bahamas,229702
Bhutan,216864
Barbados,216544
Mauritania,213132
Suriname,212000
Cabo Verde,199142
Liberia,183526
Central African Republic,180828
Guinea,178816
New Caledonia,174255
Maldives,173749
French Polynesia,157502
Somalia,153774
Gabon,150906
Burundi,130789
Equatorial Guinea,115456
Belize,105972
Guam,104887
Lesotho,96809
Sierra Leone,95416
Aruba,86122
Andorra,80175
Djibouti,75259
Bermuda,66202
Saint Lucia,57299
Antigua and Barbuda,57159
Eritrea,56103
Saint Vincent and the Grenadines,53674
Guinea-Bissau,51487
Comoros,48899
Solomon Islands,47780
Seychelles,45786
Faroe Islands,44738
Dominica,43239
São Tomé and Príncipe,42968
Saint Kitts and Nevis,40907
Cayman Islands,39819
Jersey,38958
Grenada,38357
Greenland,37976
Tonga,37213
Liechtenstein,34714
U.S. Virgin Islands,34040
Samoa,29908
Vanuatu,29557
Micronesia Federated States of,29497
Monaco,27664
Gibraltar,18878
San Marino,16484
British Virgin Islands,14456
East Timor,12896
Kiribati,11874
Anguilla,10209
Marshall Islands,8160
Tuvalu,3958
Saint Helena,2906
Falkland Islands,2842
Montserrat,2833
Wallis and Futuna,1383
Niue,1034
Ascension,361
